scenario,model,model_family,run_dir,checkpoint_used,seed,n_train,n_val,n_test,completed,notes
S0,dtr_age_temporal,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_age_temporal/S0,"best_checkpoint.pt (min val BCE, epoch 8)",0,4906,1070,1031,true,
S1,dtr_age_temporal,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_age_temporal/S1,"best_checkpoint.pt (min val BCE, epoch 6)",0,4906,1070,1031,true,
S2,dtr_age_temporal,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_age_temporal/S2,"best_checkpoint.pt (min val BCE, epoch 10)",0,4906,1070,1031,true,
S3,dtr_age_temporal,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_age_temporal/S3,"best_checkpoint.pt (min val BCE, epoch 7)",0,4906,1070,1031,true,
S5,dtr_age_temporal,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_age_temporal/S5,"best_checkpoint.pt (min val BCE, epoch 11)",0,4906,1070,1031,true,checkpoint.pt file hash differs from best_checkpoint.pt; parameter tensors are identical
S0,dtr_temporal_only,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_temporal_only/S0,"best_checkpoint.pt (min val BCE, epoch 8)",0,4906,1070,1031,true,
S1,dtr_temporal_only,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_temporal_only/S1,"best_checkpoint.pt (min val BCE, epoch 6)",0,4906,1070,1031,true,
S2,dtr_temporal_only,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_temporal_only/S2,"best_checkpoint.pt (min val BCE, epoch 8)",0,4906,1070,1031,true,
S3,dtr_temporal_only,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_temporal_only/S3,"best_checkpoint.pt (min val BCE, epoch 10)",0,4906,1070,1031,true,
S5,dtr_temporal_only,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_temporal_only/S5,"best_checkpoint.pt (min val BCE, epoch 11)",0,4906,1070,1031,true,checkpoint.pt file hash differs from best_checkpoint.pt; parameter tensors are identical
S0,dtr_age_only,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_age_only/S0,"best_checkpoint.pt (min val BCE, epoch 4)",0,4906,1070,1031,true,
S1,dtr_age_only,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_age_only/S1,"best_checkpoint.pt (min val BCE, epoch 6)",0,4906,1070,1031,true,
S2,dtr_age_only,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_age_only/S2,"best_checkpoint.pt (min val BCE, epoch 11)",0,4906,1070,1031,true,
S3,dtr_age_only,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_age_only/S3,"best_checkpoint.pt (min val BCE, epoch 7)",0,4906,1070,1031,true,
S5,dtr_age_only,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_age_only/S5,"best_checkpoint.pt (min val BCE, epoch 10)",0,4906,1070,1031,true,checkpoint.pt file hash differs from best_checkpoint.pt; parameter tensors are identical
S0,dtr_no_age,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_no_age/S0,"best_checkpoint.pt (min val BCE, epoch 4)",0,4906,1070,1031,true,
S1,dtr_no_age,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_no_age/S1,"best_checkpoint.pt (min val BCE, epoch 6)",0,4906,1070,1031,true,
S2,dtr_no_age,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_no_age/S2,"best_checkpoint.pt (min val BCE, epoch 8)",0,4906,1070,1031,true,
S3,dtr_no_age,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_no_age/S3,"best_checkpoint.pt (min val BCE, epoch 7)",0,4906,1070,1031,true,
S5,dtr_no_age,previous_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr_no_age/S5,"best_checkpoint.pt (min val BCE, epoch 6)",0,4906,1070,1031,true,checkpoint.pt file hash differs from best_checkpoint.pt; parameter tensors are identical
S0,count_lightgbm,count_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/count_lightgbm/S0,run_dir LightGBM checkpoint (no epoch weights),0,4906,1070,1031,true,
S1,count_lightgbm,count_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/count_lightgbm/S1,run_dir LightGBM checkpoint (no epoch weights),0,4906,1070,1031,true,
S2,count_lightgbm,count_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/count_lightgbm/S2,run_dir LightGBM checkpoint (no epoch weights),0,4906,1070,1031,true,result.json smoke=true; LightGBM still consumes the full loader
S3,count_lightgbm,count_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/count_lightgbm/S3,run_dir LightGBM checkpoint (no epoch weights),0,4906,1070,1031,true,
S5,count_lightgbm,count_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/count_lightgbm/S5,run_dir LightGBM checkpoint (no epoch weights),0,4906,1070,1031,true,
S0,retain,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/retain/S0,"best_checkpoint.pt (min val BCE, epoch 24)",0,4906,1070,1031,true,
S1,retain,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/retain/S1,"best_checkpoint.pt (min val BCE, epoch 24)",0,4906,1070,1031,true,
S2,retain,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/retain/S2,"best_checkpoint.pt (min val BCE, epoch 25)",0,4906,1070,1031,true,
S3,retain,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/retain/S3,"best_checkpoint.pt (min val BCE, epoch 24)",0,4906,1070,1031,true,
S5,retain,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/retain/S5,"best_checkpoint.pt (min val BCE, epoch 25)",0,4906,1070,1031,true,checkpoint.pt file hash differs from best_checkpoint.pt; parameter tensors are identical
S0,ehr_bert,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/ehr_bert/S0,"best_checkpoint.pt (min val BCE, epoch 10)",0,4906,1070,1031,true,
S1,ehr_bert,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/ehr_bert/S1,"best_checkpoint.pt (min val BCE, epoch 10)",0,4906,1070,1031,true,
S2,ehr_bert,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/ehr_bert/S2,"best_checkpoint.pt (min val BCE, epoch 10)",0,4906,1070,1031,true,
S3,ehr_bert,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/ehr_bert/S3,"best_checkpoint.pt (min val BCE, epoch 8)",0,4906,1070,1031,true,
S5,ehr_bert,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/ehr_bert/S5,"best_checkpoint.pt (min val BCE, epoch 10)",0,4906,1070,1031,true,checkpoint.pt file hash differs from best_checkpoint.pt; parameter tensors are identical
S0,medbert,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/medbert/S0,"best_checkpoint.pt (min val BCE, epoch 7)",0,4906,1070,1031,true,
S1,medbert,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/medbert/S1,"best_checkpoint.pt (min val BCE, epoch 7)",0,4906,1070,1031,true,
S2,medbert,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/medbert/S2,"best_checkpoint.pt (min val BCE, epoch 8)",0,4906,1070,1031,true,
S3,medbert,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/medbert/S3,"best_checkpoint.pt (min val BCE, epoch 8)",0,4906,1070,1031,true,
S5,medbert,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/medbert/S5,"best_checkpoint.pt (min val BCE, epoch 7)",0,4906,1070,1031,true,checkpoint.pt file hash differs from best_checkpoint.pt; parameter tensors are identical
S0,behrt,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/behrt/S0,"best_checkpoint.pt (min val BCE, epoch 24)",0,4906,1070,1031,true,
S1,behrt,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/behrt/S1,"best_checkpoint.pt (min val BCE, epoch 15)",0,4906,1070,1031,true,
S2,behrt,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/behrt/S2,"best_checkpoint.pt (min val BCE, epoch 8)",0,4906,1070,1031,true,
S3,behrt,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/behrt/S3,"best_checkpoint.pt (min val BCE, epoch 14)",0,4906,1070,1031,true,
S5,behrt,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/behrt/S5,"best_checkpoint.pt (min val BCE, epoch 11)",0,4906,1070,1031,true,checkpoint.pt file hash differs from best_checkpoint.pt; parameter tensors are identical
S0,cehrbert,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/cehrbert/S0,"best_checkpoint.pt (min val BCE, epoch 13)",0,4906,1070,1031,true,
S1,cehrbert,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/cehrbert/S1,"best_checkpoint.pt (min val BCE, epoch 11)",0,4906,1070,1031,true,
S2,cehrbert,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/cehrbert/S2,"best_checkpoint.pt (min val BCE, epoch 15)",0,4906,1070,1031,true,
S3,cehrbert,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/cehrbert/S3,"best_checkpoint.pt (min val BCE, epoch 14)",0,4906,1070,1031,true,
S5,cehrbert,neural_baseline,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/cehrbert/S5,"best_checkpoint.pt (min val BCE, epoch 13)",0,4906,1070,1031,true,checkpoint.pt file hash differs from best_checkpoint.pt; parameter tensors are identical
S0,dtr,unspecified_dtr_stub,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr/S0,NA,NA,4906,1070,1031,false,directory exists; result.json absent; not a completed run
S1,dtr,unspecified_dtr_stub,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr/S1,NA,NA,4906,1070,1031,false,directory exists; result.json absent; not a completed run
S2,dtr,unspecified_dtr_stub,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr/S2,NA,NA,4906,1070,1031,false,directory exists; result.json absent; not a completed run
S3,dtr,unspecified_dtr_stub,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr/S3,NA,NA,4906,1070,1031,false,directory exists; result.json absent; not a completed run
S5,dtr,unspecified_dtr_stub,/home/suraj/Git/Age-conditioned-pediatric-EHR/results/baselines/synthetic/dtr/S5,NA,NA,4906,1070,1031,false,directory exists; result.json absent; not a completed run
S0,reg_S0_dtr_age_temporal,content_persistence_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/synthetic_age_temporal/outputs/runs/canonical_regression/reg_S0_dtr_age_temporal,model.pt (best validation weights loaded before test),0,4906,1070,1031,true,interaction_only=true; content_persistence=true; not the shared full-label protocol
S0,reg_S0_dtr_temporal_only,content_persistence_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/synthetic_age_temporal/outputs/runs/canonical_regression/reg_S0_dtr_temporal_only,model.pt (best validation weights loaded before test),0,4906,1070,1031,true,interaction_only=true; content_persistence=true; not the shared full-label protocol
S1,reg_S1_dtr_age_temporal,content_persistence_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/synthetic_age_temporal/outputs/runs/canonical_regression/reg_S1_dtr_age_temporal,model.pt (best validation weights loaded before test),0,4906,1070,1031,true,interaction_only=true; content_persistence=true; not the shared full-label protocol
S1,reg_S1_dtr_temporal_only,content_persistence_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/synthetic_age_temporal/outputs/runs/canonical_regression/reg_S1_dtr_temporal_only,model.pt (best validation weights loaded before test),0,4906,1070,1031,true,interaction_only=true; content_persistence=true; not the shared full-label protocol
S2,reg_S2_dtr_age_temporal,content_persistence_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/synthetic_age_temporal/outputs/runs/canonical_regression/reg_S2_dtr_age_temporal,model.pt (best validation weights loaded before test),0,4906,1070,1031,true,interaction_only=true; content_persistence=true; not the shared full-label protocol
S2,reg_S2_dtr_temporal_only,content_persistence_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/synthetic_age_temporal/outputs/runs/canonical_regression/reg_S2_dtr_temporal_only,model.pt (best validation weights loaded before test),0,4906,1070,1031,true,interaction_only=true; content_persistence=true; not the shared full-label protocol
S3,reg_S3_dtr_age_temporal,content_persistence_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/synthetic_age_temporal/outputs/runs/canonical_regression/reg_S3_dtr_age_temporal,model.pt (best validation weights loaded before test),0,4906,1070,1031,true,interaction_only=true; content_persistence=true; not the shared full-label protocol
S3,reg_S3_dtr_temporal_only,content_persistence_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/synthetic_age_temporal/outputs/runs/canonical_regression/reg_S3_dtr_temporal_only,model.pt (best validation weights loaded before test),0,4906,1070,1031,true,interaction_only=true; content_persistence=true; not the shared full-label protocol
S5,S5_canonical,content_persistence_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/synthetic_age_temporal/outputs/runs/canonical_regression/S5_canonical,model.pt (best validation weights loaded before test),0,4906,1070,1031,true,interaction_only=true; content_persistence=true; no matched temporal-only Content-Persistence run for S5
S5,S5_baseline_global,content_persistence_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/synthetic_age_temporal/outputs/runs/canonical_regression/S5_baseline_global,model.pt (best validation weights loaded before test),0,4906,1070,1031,true,interaction_only=true; content_persistence=false; age×temporal global kernel; no matched temporal-only Content-Persistence run for S5
S5,S5_content_persistence_temporal_only,content_persistence_dtr,/home/suraj/Git/Age-conditioned-pediatric-EHR/synthetic_age_temporal/outputs/runs/canonical_regression,NA,NA,4906,1070,1031,false,no saved matched temporal-only Content-Persistence run for S5
